quests_title,quests_description,quests_objective
Bugged-Out,"You need to convince Diago Hixan to give you a special sensor computer. Tookreek, one of his lieutenants, can arrange a meeting… but only if you recover a special krayt dragon tooth lost when Geonosians assaulted the area.
Go to the Geonosian Compound in Jundland and take the stolen tooth back from the Geonosians.",Recover the Krayt Dragon Tooth
Bust up the Sand People,Thin out the local Sand People tribe to stop them from attacking farmsteads.,Eliminate Sand People Forces
Clean out Sand Demon’s Cave,"As you approach the Sand Demon, slay anything that gets in your way. Kill bitterscale wraids in the Sand Demon’s cave.",Kill Bitterscale Wraids
Confronting Veeboo,"Your target on Tatooine is Tyresius Lokai.
Tyresius made a deal with your rival bounty hunter in the Great Hunt, Veeboo Lunx. He might have information on where Tyresius could be. Word has it that Veeboo is throwing himself a party at the Varath cantina in the Southern Jundland Wastes. Take a speeder to Outpost Varath and locate Veeboo Lunx.",Locate Veeboo Lunx
Crash Cleanup,"While looking for the black box recording, defeat any Sand People that you may encounter.",Defeat Sand People Forces
Expedition into the Unknown,"Ensign Sarinte has informed you about an expedition effort being carried out by the Mos Ila Reclamation Service Base. All Imperials are being directed there, and the base has been told to expect your arrival.
Head to the Mos Ila Reclamation Service Base and speak to the man in charge of the expedition effort, an Imperial by the name of Captain Golah.",Return to Darth Silthar
Final Stage – Blood on the Sand,"The Sand People are proving a major impediment to Imperial operations. Deliver a blow to their tribes in Jundland by slaying their hero, Kortawa the Hunt Master, and recovering evidence from his body.",Defeat Kortawa the Hunt Master and Secure Proof of the Deed
Goodwill,"Goodwill Ambassador Tre Nareves is trying to build positive relations with the Tatooine locals.
As part of this initiative, he needs you to place perimeter sensors to scan for dangers in the area. Place the sensors in rock embankments near the Chuaro Farmstead in the Northern Jundland Wastes.",Place Perimeter Sensors
Handling the Mandalorians,A camp of unfriendly Mandalorians are standing amongst the herd of dewbacks you need to tame. They dislike intruders. Take out the Mandalorian gunbearers and stalkers.,Eliminate Mandalorians
Hunting the Hunters,"The lead assassin has brought a veritable army on his mission. Though your mission is to cut off the head, better to take out the others while you’re at it. Take out the freelance technicians, bounty hunters and assassins in the Anchorhead Western Warehouse.",Eliminate the Assassin’s Forces
Jawa Dropping,Take out any Jawas that try to stop you from completing your mission for Commander Vilos.,Defeat Jawa Forces
Journey into Dust,"Darth Silthar has gone on a pilgrimage to search for leads on the Czerka base, and Reclamation Service personnel are currently making preparations to move their operation to the forward research outpost.
Head to Outpost Varath in the Southern Jundland Wastes and contact Captain Golah using the public holoterminal there.",Use the Holoterminal
Last One Out,"Representative Fauler and Kamus Orden need additional time to review the data you acquired from the abandoned Czerka compound.
However, Fauler could still use your assistance in tracking down additional intel on the Czerka Corporation. Take a speeder to Outpost Largona and contact Fauler through the holoterminal there.",Follow Grommik Kurthson
Looking Out for the Little Guy,"Master Syo Bakarn has sent you to Tatooine. He’ll relay details of the mission once you land on the surface.
Use your ship’s galaxy map to travel to the planet Tatooine.",Return to Rowan Delk
Masters of the Desert Machines,"You’ve recovered the verbobrains from the Czerka battle droids, now you need to discover their origin. Upon analysis of the verbobrains, you learn that the Sons of Palawa bought the battle droids from the Jawas at Camp Can’ali.
Head to Camp Can’ali south of Mos Ila and talk to the Jawas in the trading compound.",Return to Captain Golah
New Threats,"Commander Vilos has received disturbing reports about Jawas being able to use the Force and needs hard proof if such a thing is possible. He’s asked you to bug their communications relays in the desert and locate any ranking Jawas in the area in case one of them has the cipher for the code being transmitted by the communications relays.
In the outskirts of Mos Ila, plant the communications bugs on the relays at the Jawas’ camp and obtain the cipher from the Jawa guardian.",Plant the Communications Bugs
Nikto Bounty,The Imperial bounty covers every settler at the Nikto supply camp. Eliminate the Nikto warriors there for an extra profit.,Defeat Nikto Warriors
Patch-up the Wounded,The bombing wounded several bystanders. Tend to their injuries.,Help Wounded Bystanders
Plugging the Leak,"Lieutenant Trason has asked you to investigate some Exchange smugglers operating out of Mos Ila who are stealing Imperial explosives and selling them to the Republic.
One of the Exchange members is sure to be in possession of a signaling device for notifying his comrades to come pick up the cargo. With that device, you could do some real damage to their shipping lines. Search Mos Ila, recover the explosive chemicals and search for a signaling device among the suspicious transients in Mos Ila.",Recover Explosive Chemicals
Race Against Doom,"Seismologist Hare’en needs you to place ultrasonic sensors in the desert so she can track the sound waves from the stolen Shock Drum. Hopefully this will also lead you to Master Kiwiiks.
Head to the plateau near the southern border of the the Northern Jundland Wastes and place the sensors where the altitude is high enough to get a good signal.",Place a Sensor at Bak’arap Farmstead
Rapid Response,"Your hunt for the Havoc traitors has brought you to Tatooine, where Oleg Klerren, the mayor of a local settlement, informed you about a series of mysterious bombings that have been perpetrated against the civilians of his city.
While you were speaking to Mayor Klerren, word came in of another bombing in progress. You have agreed to investigate in exchange for Klerren’s help with your mission. Locate the site of the bombing in Anchorhead and speak to any survivors.",Investigate the Bomb Site
Seek Answers,"Darth Baras has ordered you to hunt down and destroy those who are close to Nomen Karr’s Padawan. He is certain this will draw her out.
She trained on Tatooine. Use your ship’s galaxy map to travel toTatooine, then contact Baras via your holocommunicator for further instructions.",Travel to Tatooine
Shaman,"Commander Vilos was able to decode the Jawa relays you bugged. The Jawas speak of “spirit wielders” that Commander Vilos has assumed can use the Force.
In order to stop them, Commander Vilos wants you to bring the Jawa responsible for training the spirit wielders into custody so that Lord Berow can study the Jawa firsthand. He has informed Lord Berow to expect you before you begin your task. You can find Lord Berow in Mos Ila.",Return to Commander Vilos
Shields Down,"The crazy alien inventor, Teek, wants you to test out his shield destabilizer on the modified junk droids in the junk piles.
Use Teek’s shield destabilizer to remove the experimental shielding from junk droids in the Southern Jundland Wastes, and destroy them. The droids are extremely difficult to harm while shielded.",Charge the Destabilizer
Shock Treatment,"Veek wants you to test out his new modified ion gun on some nearby droids.
Disable unstable defense droids with Veek’s modified ion gun to the north-west of Dreviad Outpost.",Reset Unstable Defense Droids
Shut Down the Slave Trade,Shut down the Twin Suns’ slave ring in hangar 21 once and for all.,Eliminate Twin Suns Forces
Smuggler’s Route,"Sheriff Encot wants to shut down a slave trading operation in Anchorhead.
The only information he has about the Twin Suns pirates responsible is their connection to droid smuggling operation located in a warehouse in Anchorhead. Head to the Anchorhead Eastern Warehouse and search for clues there.",Go to the Anchorhead Eastern Warehouse
